sentence,topic
"Il sole splende alto nel cielo azzurro.","Meteo"
"L'azienda ha annunciato un aumento dei profitti del 15%.","Economia"
"La ricetta della torta di mele della nonna è la mia preferita.","Cucina"
"La squadra di calcio ha vinto la partita all'ultimo minuto.","Sport"
"Il nuovo libro dello scrittore è un thriller avvincente.","Libri"
"Domani pioverà, quindi porta l'ombrello.","Meteo"
"Il prezzo del petrolio è in aumento a causa delle tensioni internazionali.","Economia"
"Ho preparato una deliziosa pasta al pesto per cena.","Cucina"
"Il tennista ha conquistato il suo decimo titolo del Grande Slam.","Sport"
"Ho appena finito di leggere un romanzo storico molto interessante.","Libri"
"Le temperature scenderanno bruscamente durante la notte.","Meteo"
"Il governo ha varato nuove misure per sostenere le piccole imprese.","Economia"
"Per fare una buona pizza, l'impasto è fondamentale.","Cucina"
"Il calciatore ha segnato un gol spettacolare da fuori area.","Sport"
"La trama del racconto era piena di colpi di scena inaspettati.","Libri"
"Oggi c'è vento forte sulla costa.","Meteo"
"L'inflazione sta mettendo a dura prova le famiglie.","Economia"
"Ho provato una nuova ricetta di zuppa di lenticchie ed era ottima.","Cucina"
"Il ciclista ha vinto la tappa di montagna con un'impresa incredibile.","Sport"
"Il personaggio principale del libro era molto complesso e sfaccettato.","Libri"
"Il cielo è nuvoloso e minaccia pioggia.","Meteo"
"La borsa ha registrato un forte calo a causa dell'incertezza politica.","Economia"
"Per un dolce veloce, consiglio una torta allo yogurt.","Cucina"
"Il pilota ha effettuato un atterraggio perfetto nonostante il maltempo.","Sport"
"Il finale del libro mi ha lasciato senza parole.","Libri"
"Le previsioni del tempo indicano un miglioramento nel fine settimana.","Meteo"
"Il mercato del lavoro sta mostrando segnali di ripresa.","Economia"
"Ho imparato a fare il pane in casa ed è una grande soddisfazione.","Cucina"
"Il nuotatore ha battuto il record mondiale nei 100 metri farfalla.","Sport"
"L'ambientazione del romanzo era suggestiva e ricca di dettagli.","Libri"
"C'è nebbia fitta nella valle.","Meteo"
"Le esportazioni sono in crescita, trainando l'economia nazionale.","Economia"
"Un buon risotto ai funghi porcini è un piatto confortante.","Cucina"
"Il maratoneta ha tagliato il traguardo stremato ma felice.","Sport"
"Lo stile di scrittura dell'autore era elegante e ricercato.","Libri"
"La temperatura è gradevole, perfetta per una passeggiata.","Meteo"
"Il settore tecnologico è in continua espansione.","Economia"
"Per una colazione sana, consiglio frutta fresca e yogurt.","Cucina"
"Il giocatore di basket ha realizzato un canestro da tre punti decisivo.","Sport"
"Il libro affrontava temi importanti e attuali.","Libri"
"Il temporale di ieri sera ha causato alcuni danni.","Meteo"
"L'innovazione è fondamentale per la crescita economica.","Economia"
"La preparazione di un buon sugo di pomodoro richiede tempo e pazienza.","Cucina"
"Il motociclista ha vinto la gara con un sorpasso all'ultima curva.","Sport"
"La lettura di poesie mi rilassa molto.","Libri"
"Il clima è mite in questa stagione.","Meteo"
"Gli investimenti esteri sono in aumento.","Economia"
"Adoro preparare dolci per le occasioni speciali.","Cucina"
"Il velista ha condotto la sua imbarcazione alla vittoria nonostante le onde alte.","Sport"
"Ho trovato questo saggio molto stimolante e pieno di spunti di riflessione.","Libri"
"Il cielo è sereno e pieno di stelle.","Meteo"
"La politica monetaria della banca centrale è stata oggetto di dibattito.","Economia"
"La cucina italiana è famosa in tutto il mondo per la sua varietà.","Cucina"
